[0.00 - 29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00 - 59.98] 可以的 可以的
[60.00 - 72.32] 那个是谁讲吗 师道
[72.32 - 75.28] 是我讲
[75.28 - 76.86] 我讲那个论文
[76.86 - 81.08] 我共享一下屏幕
[90.00 - 91.78] OK
[91.78 - 97.32] 我来讲一下这篇这个metagraph
[97.32 - 100.38] 然后metagraph它其实就是
[100.38 - 103.14] 我觉得跟上次学的那个
[103.14 - 105.70] 就是上次我看那篇LexiMap
[105.70 - 107.46] 还是有一点相像之处的
[107.46 - 111.22] 但是我感觉比LexiMap好像更加的这个robust一点
[111.22 - 114.42] 那么它是一个在大规模生物序列库中
[114.42 - 118.18] 实现高效并且准确的这个全文本搜索的一个框架
[118.18 - 119.38] 然后
[119.38 - 119.98] 然后
[120.00 - 123.20] 以下是这篇文章的作者
[123.20 - 128.00] 然后基本上都是从ETH这个学校的
[128.00 - 133.22] 然后它所遇到的这个主要的挑战
[133.22 - 134.88] 首先是这个数据库的规模
[134.88 - 135.82] 报道性的增长
[135.82 - 139.90] 然后第二个就是它有一个全文本搜索的不可行性
[139.90 - 141.88] 也就是长期以来这个
[141.88 - 143.52] 就是Petabase
[143.52 - 147.92] 就是Petabase级别的这个原始测试数据
[147.92 - 149.98] 是一直没有办法进行全文本搜索的
